on -Executive Directors,Fixed Retainer,Column,Column,Sitting Allowance,Column,Column
,Kshs ‘000,,,Kshs ‘000,,
,2018,2017,2016,2018,2017,2016
eorge Theobald,"1,015","1,035",873,495,362,101
rank Ireri,500,500,230,1071,400,120
