Non-Executive Directors,Fixed Retainer,Column,Column,Sitting Allowance,Column,Column
,Kshs ‘000,,,Kshs ‘000,,
,2019,2018,2017,2019,2018,2017
George Theobald,"1,018","1,015","1,035",352,495,362
Frank Ireri,500,500,500,571,"1,071",400
