No.,Name of,Constitutive,Relevant,Provision on borrowing powers,Variation of powers,Comments
,Company,document,clauses,,,
5.,Roto Moulders,Memorandum of,Object 34,The Company may borrow or raise or secure payment of money in,Pursuant to the Companies Act,-
,Limited (Kenya),Association,,such a manner as the company thinks fit and in particular by the,(Chapter 486 of the Laws of,
,,,,"issue of debenture stock, perpetual or otherwise creating a charge","Kenya), the Memorandum of",
,,,,upon all or any the company’s property (both present and future),Association of the Company,
,,,,"including its uncalled capital and to purchase, redeem and pay off",can be amended by a special,
,,,,any such securities.,resolution of the shareholders,
,,,,,of the Company.,
,,Articles of,Articles," The directors may from time to time, at their discretion",Pursuant to the Companies Act,The effect of excluding
,,Association,24 and 25,borrow and secure the payments of any sum or sums of,(Chapter 486 of the Laws of,Regulation 79 of Table
,,,,money for the purposes of the company. Clause 79 of Table,"Kenya), the Articles of",A of the Companies Act
,,,,“A” Part I shall not apply to the Company.,Association of the Company,is that the Company is
,,,, The Directors may secure the repayments of money,can be amended by a special,permitted to borrow
,,,,borrowed in such a manner and upon such terms and,resolution of the shareholders,more than the issued
,,,,"conditions in all respect they think fit and in particular,",of the Company.,share capital of the
,,,,subject to Article 3 (a) hereby by issue of debenture stock of,,Company.
,,,,the Company (both present and future) including its uncalled,,
,,,,capital for the time being.,,
6.,Jojo Plastics,Memorandum of,Object 3.48,The Company may borrow or raise money whether or not for the,Pursuant to the Companies Act,
,(Kenya),Association,,"purposes of the company (including by way of hire purchase,",(Chapter 486 of the Laws of,
,,,,"conditional sale, credit sale or any other such methods of financing)","Kenya), the Memorandum of",
,,,,from banking and financial institutions or other money lending,Association of the Company,
,,,,institutions or by other lawful means including by the issue of,can be amended by a special,
,,,,"debentures, debenture stock (perpetual or terminable) or bonds",resolution of the shareholders,
,,,,"and to secure or discharge any debt, liability or obligation of or",of the Company.,
,,,,binding on the company whether by way of guarantee or,,
,,,,"indemnity or otherwise (including, without limitation, pursuant to",,
,,,,"the borrowing or raising of money) by giving of mortgages ,",,
,,,,"charges or other security founded, or based upon all or any of the",,
,,,,"property and rights of the Company, including its uncalled capital",,
