Activity,% Turnover total,%Gross profit total,% Operating profit total
Manufacturing,89%,91%,67%
Trade,11%,9%,34%
Holding,0%,0%,-1%
Region,,,
Africa,89%,91%,66%
Middle East,11%,9%,34%
