alance Sheet,Column,Column,Column
,2018,2017,Var.%
on-current assets,"706,120,707","539,165,983",31.0%
urrent assets,"1,133,151,101","1,141,603,805",-0.7%
otal Assets,"1,839,271,808","1,680,769,788",9.4%
quity,"813,034,474","731,460,183",11.2%
on-current liability,"35,334,216","64,796,358",-45.5%
urrent liabilities,"990,903,118","884,513,247",12%
otal Equity + Liabilities,"1,839,271,808","1,680,769,788",9.4%
orrowing,2018,2017,Var.%
ong Term,"35,334,216","64,796,358",-45.5%
hort Term,"387,961,692","358,141,888",8.3%
otal Debt,"423,295,908","422,938,246",0.6%
ash and cash equivalents,"58,431,055","86,757,913",-32.7%
et Financial Debt,"364,864,853","336,180,333",8.5%
,2018,2017,
quity,"831,034,474","731,460,183",11.2%
et Financial Debt/Equity,44.9%,46.0%,
