No. Industry Shares Shares % Shareholders Shareholders %,Column,Column,Column,Column,Column
1,"East African Community Partner
States Individuals","166,860,906",93.71,"2,316",96.50
2,"East African Community Partner
States Institutions","5,392,106",3.03,67,2.79
3,Foreign Individual,"3,301,740",1.85,16,0.67
4,Foreign Institutions,"2,498,734",1.40,1,0.04
"Totals 178,053,486 100.00 2,400 100.00",,,,,
