No.,Name of,Constitutive,Column,Relevant,Column,Provision on borrowing powers,Column,Variation of powers,Column,Comments
,Company,document,,clauses,,,,,,
,,,,,,or without any such security and upon terms as to priority or,,,,
,,,,,,otherwise as the Company shall think fit.,,,,
,,Articles of,Article 9,,"The directors may exercise all powers of the company to borrow,
lend and guarantee the repayment of money and to mortgage or
charge or otherwise secure its undertaking, assets, property and
uncalled capital or any part thereof and to issue debentures,
debenture stock and other securities and other instrument whether
outright or as security, for any debt liability or obligation of the
company or of any third party. Regulation 79 of Table “A” Part I
shall not apply to the Company.",,"Pursuant to the Companies Act
(Chapter 486 of the Laws of
Kenya), the Articles of
Association of the Company
can be amended by a special
resolution of the shareholders
of the Company.",,"The effect of excluding
Regulation 79 of Table A
of the Companies Act is
that the Company is
permitted to borrow
more than the issued
share capital of the
Company.",
,,Association,,,,,,,,
7.,Cirrus,Articles of,,N/A,,The Articles are silent on the issue of borrowing powers therefore,,N/A,,
,International,Association,,,,the Hamriyah Free Zone Rules as the company is a free zone,,,,
,(Dubai),,,,,company.,,,,
,,Hamriyah Free,,Rules 15,, The business of a Free Zone Company shall be managed by,,N/A,,The borrowing powers
,,Zone Rules,,and 16,,the directors who may exercise all the powers of the Free Zone,,,,of the company are
,,,,,,Company. The directors may regulate their proceedings as,,,,vested in the directors of
,,,,,,they think fit.,,,,the company. There is
,,,,,, The objects of each Free Zone Company shall be to carry on,,,,no express limit on the
,,,,,,all such business within the areas of the Free Zone as the HFZ,,,,amount that can be
,,,,,,Authority may permit under the terms of the Licence issued,,,,borrowed in the
,,,,,,in respect of the Free Zone Company (as the same may be,,,,Hamriyah Free Zone
,,,,,,amended from time to time by the HFZ Authority) and,,,,Rules.
,,,,,,elsewhere in accordance with all applicable laws and,,,,
,,,,,,"regulations, and all business and other matters ancillary,",,,,
,,,,,,conducive or related thereto. Such matters will include power,,,,
,,,,,,"for each Free zone Company to borrow, grant security,",,,,
,,,,,,guarantee any obligation or any person or indemnify any,,,,
,,,,,,"person, to enter into all types of banking and financial",,,,
