a) Executive Director,Column
Base Salary,
"Purpose/Link to Corporate
Strategy","Part of a basic competitive package to retain individuals of the necessary caliber
to execute the Company’s business strategy. The People Strategy was approved
by the Board in June 2015."
Operation,"The Executive Director is entitled to a Salary only. No separate Directors’ fees
are paid. The salary is reviewed annually in line with the Company’s Human
Resources plan with changes effective 1 July, if appropriate."
Opportunity,"Salary reviews are based on market comparisons and increases to other Group
staff. Details of salaries for 2016/17 are shown in Note 33 ( iv) of the report.
Increases in Executive Director salary is aligned to the average staff increase in
the Group."
Performance Metrics,None - This is linked to the annual bonus plan.
Pension,
"Purpose / Link to Corporate
Strategy","To provide executives with a long-term savings opportunity; the pension forms part
of a basic competitive package to recruit and retain."
Operation,A Defined Contribution plan for all Executive Directors.
Opportunity,"Company contribution as percentage of basic salary up to 7.5%, CEO up to 7.5%."
Performance Metrics,None
Benefits,
"Purpose / Link to Corporate
Strategy","Insured benefits are included to provide employee protection for the benefit of the
employee and Company."
Operation,Insured benefits provided as part of Group schemes.
Opportunity,Group Medical Insurance
,Group Life Assurance
,Critical illness cover
,Income Protection Policy
,Car Allowance
,Club membership for business and personal use.
Performance Metrics,None
Annual Bonus Plan,
"Purpose / Link to Corporate
Strategy","The bonus payment is implemented in accordance with an approved Compensation
Philosophy for the period 2014 to 2018."
,"The objective is to incentivise and focus attention on Company KPIs; to reward
the achievement of financial, operational and individual targets and provide a
competitive performance-related annual earnings opportunity."
Operation,"Targets and KPIs are set at start of year. 85% of opportunity is based on corporate
achievement and 15% on individual performance. The bonus pool is unlocked
upon attainment of 85% of budgeted profit before tax. 100% of the award is paid
in cash soon after approval by the Board of Directors."
