1.4.2. Executive Director,Column,Column
a. Salary and benefits,,
Purpose,"To provide fixed remuneration to reflect the scale and complexity of both the business and the role, and to be competitive with
the external market.",
Operation and Opportunity,Salary,Benefits
,"• Executive Directors are entitled to a salary only. No separate
Director’s fees are paid.
• Salary levels take into account the nature of the role, performance
of the business and the individual, market positioning and pay
conditions within Unga Group Plc. When setting salaries, the
BHRC considers practice in other manufacturing companies of
a similar size, geographic spread and business dynamic to the
Company.
• Salaries are normally set in the home currency of the Executive
Directors and are reviewed annually. They may be reviewed at
other times where appropriate, for example following a major
role change.
• Salary levels are specific to the role and individual and therefore
there is no maximum salary under the policy. However, when
reviewing salaries for Executive Directors, the committee will
consider salary increases for the most senior management and
for employees. Percentage increases for Executive Directors
will not exceed that of the broader employee population, other
than in specific circumstances identified by the BHRC (e.g. in
response to a substantial change in responsibilities).
• The Executive Directors’ salaries will be as determined by the
BHRC and approved as required under the Company’s and
Regulatory approval frameworks.","• Executive Director’s salaries will be maintained until
reviewed by the Board from time to time.
• Executive Directors are entitled to receive those
benefits available to all Company employees generally.
• Benefits are not pensionable.
• Executive Directors may receive other benefits that
are judged to be cost effective and appropriate in
terms of the individual’s role, time and/or security.
These include car-related benefits or cash in lieu,
driver, security, assistance with tax return preparation,
insurance and medical benefits. The Company may
meet any tax charges arising on business-related
benefits provided to Executive Directors."
Share awards,The Group does not operate an Employee Share Ownership Scheme.,
Performance framework,"The salary reviews are conducted annually in line with the Company’s Human Resources Plan with changes, if any, effective from
1 July of each financial year as would have been approved by the Company’s Board.",
