Year ended 30 June,Column
"2023
Shs’000","2022
Shs’000"
"24,051,024
(22,889,768)","18,032,334
(16,623,273)"
"1,161,256
144,891
(851,810)
(654,857)
(240,062)","1,409,061
115,241
(772,252)
(1,275,394)
21,304"
"(440,582)
(6,285)
31,377
(784,368)","(502,040)
7,429
41,079
(267,446)"
"(1,199,858)
240,477","(720,978)
229,815"
"(959,381)
-","(491,163)
802,524"
"(959,381)","311,361"
"(636,517)
(322,864)","187,414
123,947"
"(959,381)","311,361"
(8.41),2.48
"(8.41)
-","(4.41)
6.89"
(8.41),2.48
