Column,Column,Accept,Reject,"Dissenting
Opinion"
,ORDINARY BUSINESS:,,,
6(b),"In accordance with the provisions of Section 769 of the Companies
Act 2015, the following directors being members of the Board Audit &
Risk Committee be elected to continue to
serve as members of the said committee:-",,,
,"i. Ms Shilpa Haria
ii. Mr Andrew Ndegwa
iii. Mr Vitalis Ojode
iv. Ms Ciru Miring’u
v. Ms Wangari Murugu",,,
7,"Directors’ Remuneration
a) To approve the Directors’ Remuneration Policy as shown in the
audited Financial Statements for the year ended 30th June 2022.
b) To approve the Directors’ Remuneration Report as shown in the
audited Financial Statements for the year ended 30th June 2022.",,,
8,"To note that the auditors, Messrs PricewaterhouseCoopers (PwC) will
continue in office in accordance with Section 721 (2) and 724 of the
Companies Act, No.17 of 2015 and to authorize the Directors to fix
their remuneration for the ensuing financial year in accordance with
the provisions of Section 724 (1) of the Companies Act 2015.",,,
