As at 30 June,Column
"2022
Shs’000","2021
Shs’000"
"289,725
(105,282)
(112,861)","1,213,305
(48,013)
(114,702)"
"71,582","1,050,590"
"(75,023)
(26,541)
(489,736)
73,685","(141,530)
(2,700)
-
10,723"
"(517,615)","(133,507)"
"(304,796)
(27,321)","(31,821)
(27,289)"
"(332,117)","(59,110)"
"(778,150)","857,973"
"1,521,050
(778,150)
(8,181)","661,486
857,973
1,591"
"734,719","1,521,050"
