As at 30 June,Column
"2022
Shs’000","2021
Shs’000"
"18,032,334
1,409,061
8%
(502,040)
802,524
311,361","17,812,638
1,889,074
11%
616,202
(13,488)
293,477"
"10,287,650","10,048,779"
