Stakeholder,Purpose,Column
"Large-Scale
Farmers","• Bring down the cost of raw material
through efficient supply chain
measures
• Ensure continuous supply of raw
material through sourcing direct
and forming contracts","• Visited several large-scale
farmers who were able to
supply a bulk of our needs"
"Medium to
Large-Scale
Farmers","• Fostering lasting relationships
between Unga and its livestock
farming customers
• Re-acquiring lost customers from
competition
• Understanding pain points and
providing solutions","• Visited several medium to
large livestock & fish farmers
• Aligned on ways to increase
efficiency to make their
business sustainable
• Visibility initiatives and
advocacy for growth"
Distributors,"• Drive focus for our brands with
distributors
• Get knowledge, insights and
identify gap areas with distributors","• Engaged with several
distributors
• Aligned on enhancing
distribution, visibility initiatives,
rebates & incentives"
"County
Governments","• Partner with County Governments
to educate farmers on sustainable
and smart farming through quality
inputs and spotlighting demand
products","• Met with Kisumu County
Government to capitalise on
financial facilities for farmers
to encourage planting of Soya
bean
• Collaborated with National
Irrigation Authority for large-
scale farming and exploring
growing fish farming through
promoting cage fishing"
"Regulatory
Agencies and
Affiliates","• Foster better working relationships
between Unga and regulators
that control our market to build
partnerships and influence policy
that favor market growth
• Strengthen relations between Unga
and KEBS to ensure continued
cohesion between the company
and the regulator
• Streamline communication between
Unga and KEBS to ensure smooth
running of operations
• Fast-track bottlenecks experienced
in issuance of SMarks and other
regulatory documents","• Built cohesion between Unga
and key regulators toward
enhanced safety policies and
standards"
Media Houses,"• To enhance effective
communication and messaging for
its brands and strategic direction,
crisis management, explore
potential areas of collaborations
and strategies for enhancing our
reputation and promoting our
products.","• Shared industry insights and
perspectives on market trends,
consumer behavior, and other
relevant topics
• Identified areas of
collaboration to position Unga
as a thought leader in the
nutrition space for both animal
and human nutrition"
