As at 30 June,Column
"2022
Shs’000","2021
Shs’000"
"1,297,335","1,297,335"
"1,297,335","1,297,335"
"61,243
3,001","60,929
2,990"
"64,244","63,919"
"1,361,579","1,361,254"
"378,535
73,148
629,393","378,535
73,148
684,580"
"1,081,076","1,136,263"
"280,503","224,991"
"280,503","22,991"
"1,361,579","1,361,254"
