ASSUMPTION,APPROACH USED TO DETERMINE VALUES:
Discount rate,"Based on specific risks relating to the industry and country for KES
denominated cash flows. Factors considered for the industry include
regulatory environment, market competition, and barriers to entry."
Volume growth,This is based on management’s market sizing and market share projection.
Gross margin,Based on past experience and management expectations of the future.
"Selling, general and admin-
strative expenses growth",Based on past experience and management expectations of the future.
