e. Retirement Benefits,Column,Column
Purpose,To recognize competitive practice in home country,
Operation and Opportunity,"• The GMD is entitled to pension provision through the Company’s defined contribution plan for all permanent
employees. The employer’s contribution as a percentage of basic salary is 7.5% and the GMD’s contribution
is 7.5%.
• The participant may opt to remain a member of the Company’s defined benefit plan even upon leaving the
Company.
• The level of contribution is higher than the market rate which provides for 6%.",
Performance framework,Retirement benefits in Kenya are not directly linked to performance. They reflect local ma,rket practice.
