Member,"Attendance-
BNRC
meetings"
"Wangari Murugu -
Chairman",5/5
Patrick Obath,5/5
"Isabella Ochola
Wilson",4/5
Andrew Ndegwa,5/5
Jinaro Kibet,3/5
