Materiality trend,Our positioning,Our response
Environmental Sustainability,,
"Climate change, resource
scarcity, soil degradation
and our own environmental
footprint
• Climate change and other
environmental degradation
will increasingly impact the
supply of raw materials, both
regionally and globally.
• Companies will increasingly
be scrutinized by consumers
regarding their sustainability
impacts and how these are
mitigated.","With its long-standing commitment
to sustainability, Unga is an
industry leader in terms of resource
efficiency and pollution control
in its processes. Unga is well
positioned to lead and to continue
to expand its sustainability
commitment to all parts of its
supply chain.","Supply chain management
Our in-house commitment to sustainable
practices is in continuous progress and
extended to our supply chain. In the
down-stream supply chain, we engage
with customers to increase awareness of
sustainable practices, including in fish and
poultry farming.
We take our Producer Responsibility to
heart when it comes to waste and are
therefore investing in developing use of
biodegradable packaging materials in line
with the ban on plastics.
Through partnerships and relevant
initiatives, Unga will continue to engage in
the up-stream supply chain on sustainable
farming practices, including through use
of organic inputs, as well as agro-forestry
and large scale tree planting."
Economic Sustainability,,
"Market transparency and
supply availability
• As per the trend above,
environmental degradation
and population growth trends
indicate our industry will need
to produce more with fewer
resources.
• In addition, lack of
transparency in terms of
availability of supply and
import programs, makes
it a challenge to forecast
production.","Unga is one of the largest food
processing company in Kenya.
Its agile and diversified business
enables it to absorb and manage
market changes and shocks to the
greatest extent possible.","Expansion and diversification
We will continue our focus on diversification
and value addition in our portfolio to meet
customer expectations of convenient
and high-quality products at competitive
prices."
