Column,Column,Accept,Reject,"Dissenting
Opinion"
,ORDINARY BUSINESS:,,,
2.,"To confirm the minutes of the Ninety Fourth (94th) Annual
General Meeting held on Friday, 10th December 2021.",,,
3.,To receive the Chairman’s Report.,,,
4.,"To receive and, if approved, adopt the Consolidated Audited
Financial Statements for the year ended 30 June 2022, together
with the Chairman’s, the Directors’ and Auditor’s Reports thereon.",,,
5.,"To note that the Directors do not recommend the payment of a
dividend for the financial year ended 30th June 2022.",,,
6(a),"Election of Directors:
In accordance with the provisions of Article 67.1 of the Company’s
Articles of Association",,,
,"i. Mr Jinaro Kibet retires by rotation and being eligible, offers
himself for re-election.
ii. Mr Patrick Obath retires by rotation and being eligible, offers
himself for re-election.
iii. Ms Ciru Miring’u retires by rotation and being eligible, offers
herself for re-election.",,,
