b. Annual Bonus,Column
Purpose,"To provide variable remuneration dependent on the performance of the Company and focus attention on the Group’s KPIs; to
reward the achievement of financial, operational and individual targets and provide a competitive performance related annual
earnings opportunity."
Operation and Opportunity,"• The bonus pay is a short-term based pay, that will be based on the Executive Directors’ performance against annual
measures and targets set at the start of the year, evaluated over the financial year and assessed following the year end.
• The bonus payment is implemented in accordance with an approved Compensation philosophy for the period 2014 to
2018.
• 85% of opportunity is based on corporate achievement and 15% on individual performance.
• The bonus pool will be unlocked upon attainment of 85% of budgeted profit before tax. The Executive Directors will be
entitled to bonus pay that will be a percentage of gross annual salary as approved by the Board of Directors.
• Normally, any such bonus would be restricted to the director’s actual period of service in that financial year.
• 100% of the award is paid in cash soon after approval by the Board of Directors.
• The awards are not subject to malus and clawback provisions."
Performance framework,"• The BHRC determines specific measures, weightings and targets each year to reflect the priorities in the annual plan,
which is designed to deliver the Group’s strategy and is approved by the board.
• Measures will typically include a balance of financial, operational and individual measures.
• Details of the corporate performance measures applicable in the current financial year are contained in the Group
Variable pay out policy.
• The BHRC intends to disclose targets for the annual bonus retrospectively."
