Name,"Independent Non-Execu-
tive/Non-Executive Director
(NED)","Period in
office","Board
meeting
attendance","Board
Strategy
attendance","For re-
election"
"Isabella Ochola-
Wilson",Non-Executive Chairman,Full year,5/5,2/2,Yes
"Nicholas Charles
Hutchinson",Group Managing Director,Five months,2/5,n/a,n/a
Joseph Choge,Group Managing Director,"Seven
months",3/5,2/2,n/a
Andrew Ndegwa,NED,Full year,5/5,2/2,No
Alan Mckittrick,NED,Full year,4/5,2/2,No
Vitalis Ojode,NED,Full year,5/5,2/2,No
Jinaro Kibet,NED,Full year,5/5,2/2,Yes
Patrick Obath,Independent NED,Full year,5/5,2/2,Yes
Shilpa Haria,Independent NED,Full year,5/5,2/2,No
Ciiru Miring’u,Independent NED,Full year,5/5,2/2,Yes
Wangari Murugu,Independent NED,Full year,5/5,2/2,No
