As at 30 June,Column
"2023
Shs’000","2022
Shs’000"
"1,297,335","1,297,335"
"1,297,335","1,297,335"
"61,248
3,008","61,243
3,001"
"64,256","64,244"
"1,361,591","1,361,579"
"378,535
73,148
587,202","378,535
73,148
629,393"
"1,038,885","1,081,076"
"322,706","280,503"
"322,706","280,503"
"1,361,591","1,361,579"
