Column,Column,Board,BOARD COMMITTEES,Column,Column,Column,Column,Column,Column,Column,"Special
Board",Column
,,,"Audit and Risk
Committee",,"Nominations and
Remuneration
Committee",,"Investment
and Operations
Committee",,"Human
Resources
Committee",,,
,No. of Meetings,3,,6,,1,,6,,5,,6
Name,,,,,,,,,,,,
Isabella Ochola-Wilson,Non-executive Chairman,3,A,1,M,1,A,3,M,5,,6
Nicholas Hutchinson,Group Managing Director,3,A,6,,,M,6,M,5,M,5
Andrew Ndegwa,Non-executive,3,M,4,M,1,M,4,,,,
Alan McKittrick,Non-executive,3,,,,,M,1,C,3,,
Vitalis Ojode,Non-executive,3,M,6,,,M,,,,M,6
Jinaro Kibet,Non-executive,3,M,3,M,1,,,,,,
Patrick Obath,Independent non-executive,3,,,C,1,C,6,,,M,5
Shilpa Haria,Independent non-executive,3,C,6,,,,,,,M,5
Winniefred Jumba,Company Secretary,3,,,A,1,A,5,A,5,A,6
