"2019
Shs ‘000","2018
Shs ‘000"
"3,767,385
174,606
22,723
-
4,716","3,194,280
18,354
74,300
24,674
25,234"
"3,969,430","3,336,842"
"2,752,081
3,017,093
66,124
841,338","2,689,813
2,813,438
4,116
1,088,455"
"6,676,636","6,595,822"
"10,646,066","9,932,664"
"378,535
73,148
(46,131)
3,633,977","378,535
73,148
(31,329)
3,367,537"
"4,039,529","3,787,891"
"2,015,881","1,821,184"
"6,055,410","5,609,075"
"31,660
249,095
802,352
59,830
34,111","9,351
356,202
815,363
63,154
-"
"1,177,048","1,244,070"
"3,112,013
6,430
34,652
260,513","2,611,469
391,224
-
76,826"
"3,413,608","3,079,519"
"4,590,656","4,323,589"
"10,646,066","9,932,664"
