"2019
Shs ‘000","2018
Shs ‘000"
"10,291
(46,241)","22,054
(43,603)"
"(35,950)","(21,549)"
"(5,947)",-
"(41,897)","(21,549)"
-,-
"(41,897)","(21,549)"
