"2023
Shs’000","2022
Shs’000"
"-
-","362,816
(369,547)"
"-
-","(6,731)
814,694"
"-
-","807,963
(5,439)"
-,"802,524"
"-
-
-","144,456
(306,838)
(79,938)"
-,"(242,320)"
