BUSINESS,TARGET,ACHIEVED,PRODUCTIVITY STATUS
Unga Limited,4.6%,5.5%,Decline in sales and revenue.
"Unga Farm Care (EA)
Limited",4.7%,5.7%,Townhall meetings to better communicate with staff.
"Ennsvalley Bakery
Limited",22.3%,25.0%,Staff rationalisation
