As at 30 June,Column
"2022
Shs’000","2021
Shs’000"
"18,032,334
(16,623,273)","17,812,638
(15,923,564)"
"1,409,061
115,241
(772,252)
(1,254,090)","1,889,074
24,738
(819,651)
(477,959)"
"(502,040)
7,429
41,079
(267,446)","616,202
-
19,597
(150,567)"
"(720,978)
229,815","485,232
(178,267)"
"(491,163)
802,524","306,965
(13,488)"
"311,361","293,477"
"187,414
123,947","179,175
114,302"
"311,361","293,477"
2.48,2.37
"(4.41)
6.89","2.49
(0.12)"
