Agenda items,Column,Accept,Reject,Abstain
ORDINARY BUSINESS:,,,,
1.,"To confirm the minutes of the Ninety Seventh (97th) Annual General Meeting held
on Thursday, 5th December 2024.",,,
2.,To receive the Chairman's report.,,,
3.,"To receive and adopt the Consolidated Audited Financial Statements for the
financial year ended 30th June 2025 together with the Reports of the Directors and
the Auditors thereon.",,,
4.,"Election of Directors:
(a) In accordance with the provisions of Article 67.1 & 67.2 (1) of the Company’s
Article of Association, Ms. Kinya
Kimotho retires by rotation and being eligible, offers herself for re-election.",,,
,"(b) In accordance with the provisions of Article 67.1 & 67.2(ii) of the Company's
Articles of Association:
i. Mr. Jinaro Kibet retires by rotation and being eligible, offers himself for
re-election.
ii. Ms Wanjiru Miringu retires by rotation and being eligible, offers herself for
re-election.",,,
,"(c) In accordance with the-provisions of Section 769 of the Companies Act, 2015
the following Directors, being members of the Group Board Audit & Risk
Committee be elected to continue to serve as members of the said Committee:-
Ms. Kinya Kimotho
Ms. Shilpa Haria
Mr. Andrew Ndegwa
Ms. Wanjiru Miring’u
Ms. Wangari Murugu",,,
5.,"Directors’ Remuneration
(a) To approve the Directors’ Remuneration Policy as shown in the Audited Financial
Statements for the year ended
30th June 2025.",,,
,"(b) To approve the Directors’ Remuneration Report as shown in the Audited
Financial Statements for the year ended 30th June 2025.",,,
6.,"To note that the auditors, Messrs. PricewaterhouseCoopers (PwC) will continue in
office in accordance with Section 721 (2) and 724 of the Companies Act, No.17 of
2015 and to authorise the Directors to fix their remuneration for the ensuing financial
year in accordance with the provisions of Section 724 (1) of the Companies Act 2015.",,,
