Strategic Ambition,Risk category,Risk Mitigation
Profits,,
Portfolio,,
People,,
Planet,"Environment & CSR Zero tolerance to noncompliance with environmental laws and regulat
relationships with communities in which we operate are in place.",
Partners,"Business Partnerships Building partnerships and good working relationships with like minded
elaborate know your customer platforms are a part of our business focus",
