Column,Committee Members,Key Highlights,Column
"Audit and Risk
Committee","Shilpa Haria (Chairman)
Jinaro Kibet
Andrew Ndegwa
Vitalis Ojode","• Review of Group’s audited and unaudited financial statements
• Enterprise Risk Management Policy
• Risk Appetite Statements & Tolerances
• Business Continuity Management Policy
• Management Risk Committee Terms of Reference (ToRs)
• Whistleblowing Policy
• Accounting policy for Property, Plant and Equipment (PPE)
The Committee also
• Approved the SAP ERP system post-implementation review by
PricewaterhouseCoopers
• Approved the Internal Audit plan
• Mandated management to ensure compliance with the CMA requirements on anti-
bribery programmes
• Mandated management to entrench a Risk Management culture within the Group",
"Nominations and
Remuneration Committee","Patrick Obath (Chairman)
Jinaro Kibet
Andrew Ndegwa
Isabella Ochola-Wilson","During the course of the year, the Committee
• Commenced the Board succession process
• Rolled out the Board evaluation exercise
• Revised the Memorandum and Articles of Association
• Drafted the Directors Remuneration Policy in line with the leg",al requirement
"Investment and
Operations Committee","Patrick Obath (Chairman)
Andrew Ndegwa
Nick Hutchinson
Alan McKittrick
Vitalis Ojode
NB: The Board was reconstituted
on a temporary basis to increase
quorum during the take-over
transaction period. The following
were co-opted – Mrs. Isabella
Ochola-Wilson and Mr. Vitalis
Ojode","During the course of the year, the Committee oversaw the following initiatives:
• Commissioning of full fat soybean meal plant
• Eldoret wheat mill expansion
• Oversight of sale of Unga Millers (U) Limited’s assets
• Review SAP ERP updates
• Review of the Group’s entire supply chain
• Capital projects",
