Buildings on long leasehold land,2.5%,Column
Buildings on short leasehold land,Over,period of lease
Computer equipment,33.30,%
Plant and Machinery,5 - 7.5,%
Furniture and fittings,12.5%,
Motor vehicles,25%,
Silos,"Shorter of 50 years or the
unexpired period of the lease for
the land on which they are built",
