Column,Column,BOARD,BOARD COMMITTEES,Column,Column,Column,Column,Column,Column,Column,"SPECIAL
BOARD",Column
,,,"Audit
and Risk
Committee",,"Nominations
and
Remuneration
Committee",,"Investment
and
Operations
Committee",,"Human
Resources
Committee",,,
Name,No. of Meetings,5,,5,,1,,4,,4,,1
"Isabella
Ochola-Wilson","Non-Executive
Chairman",5,,,M,1,A,2,M,4,M,1
"Nicholas
Hutchinson","Group
Managing
Director",5,A,5,,,M,4,M,4,M,1
Andrew Ndegwa,"Non-Executive
Director",3,M,4,M,1,M,3,,,,
"P Mugambi –
Alternate to
Andrew Ndegwa","Alternate
Director",1,A,1,,,M,1,,,,
Alan McKittrick,Non-Executive,5,,,,,M,3,C,4,,
Vitalis Ojode,Non-Executive,5,M,5,,,,,,,M,1
Jinaro Kibet,Non-Executive,3,M,4,M,1,,,,,,
Patrick Obath,"Independent
Non-Executive",4,,,C,1,C,4,,,M,1
Shilpa Haria,"Independent
Non-Executive",5,C,5,,,,,,,M,1
"Winniefred
Jumba","Company
Secretary",5,,,A,1,A,4,A,4,A,1
