"Leasehold
land
Shs’000","Warehouse
Shs’000","Motor
vehicles
Shs’000","Total
Shs’000"
"153,930
26,541
(6,671)","82,561
9,736
6,671","69,299
4,887
-","305,790
41,164
-"
"173,800","98,968","74,186","346,954"
"51,540
(13,311)","57,928
(3,515)","65,655
751","175,123
(16,075)"
"38,229","54,413","66,406","159,048"
"135,571","44,555","7,780","187,906"
"151,230
2,700","77,406
5,155","54,670
14,629","283,306
22,484"
"153,930","82,561","69,299","305,790"
"42,216
9,324","40,321
17,607","54,670
10,985","137,207
37,916"
"51,540","57,928","65,655","175,123"
"102,390","24,633","3,644","130,667"
