"2019
Shs’000","2018
Shs’000"
"34,652
34,111","-
-"
"68,763",-
"132,076
21,398
(84,711)","-
-
-"
"68,763",-
"22,723","74,300"
"22,723","74,300"
"368,912
19,496","352,366
16,525"
"388,408","368,891"
"294,612
71,073","186,022
108,569"
"365,685","294,591"
"22,723","74,300"
