"Present
value of
obligation
Shs’000",Column,"Fair value
of plan
assets
Shs’000","Total
Shs’000","Impact of
asset
ceiling
Shs’000","Total
Shs’000"
"668,155
49,886
97,387
147,273
-
21,009
21,009",,"(717,502)","(49,347)","24,673","(24,674)"
,"49,886
97,387","-
(97,753)","49,886
(366)","-
3,282","49,886
2,916"
,,"(97,753)","49,520","3,282","52,802"
,"-
21,009","38,184
-","38,184
21,009","-
-
(27,955)","38,184
21,009
(27,955)"
,,"38,184","59,193","(27,955)","31,328"
"40,166
-
(37,831)
2,335",,,,,
,"40,166
-
(37,831)","(40,166)
(37,175)
37,831","-
(37,175)
-","-
-
-","-
(37,175)
-"
,,"(39,510)","(37,175)",-,"(37,175)"
"838,772",,"(816,581)","22,191",-,"22,191"
