As at 30 June,Column
"2022
Shs’000","2021
Shs’000"
"2,889,340
1,358,240
187,906
12,518
4,716
29,494","3,524,311
-
130,667
14,026
4,716
43,698"
"4,482,214","3,717,418"
"2,054,442
2,940,205
76,070
734,719","2,461,724
2,047,381
16,620
1,521,050"
"5,805,436","6,046,775"
-,"284,586"
"10,287,650","10,048,779"
"378,535
73,148
(32,818)
3,996,859","378,535
73,148
(33,169)
3,809,445"
"4,415,724
2,286,090","4,227,959
2,161,955"
"6,701,814","6,389,914"
"137,078
-
24,451","363,062
558,162
-"
"161,529","921,224"
"-
2,898,109
2,254
30,860
493,084","14,010
2,372,875
30,224
19,464
239,718"
"3,424,307","2,676,291"
-,"61,350"
"3,585,836","3,658,865"
"10,287,650","10,048,779"
