Key features,Column,Purpose and link to strategy,Implementation in 2021
yralaS,"• Reviewed annually in July of
every year.
• Salaries take account of
external market and internal
employee context.","• Supports the attraction and
retention of talent with the
capacity to deliver Unga’s
strategy.","• There was a 6% COLA increase
awarded for all qualifying
employees during the year.
• Supported by a comprehensive
review of total target
remuneration versus the
external market."
"stifeneb
secnawollA
dna","• Provision of competitive
benefits.
• Maximum Company pension
contribution is 6% (7.5%
of base salary for other
employees.","• Provision of market
competitive and cost-effective
benefits supports attraction
and retention of talent.","• Changed from prior year:
- 7.5 % of salary for new GMD
in line with all employees.
Previously 6% in line with
Seaboard policy."
"evitnecni
launnA","• Performance bonus.
• Paid out in cash after the
end of the financial year.","• Incentivises delivery of Unga’s
annual financial and strategic
targets.
• Provides focus on key
financial metrics and the
individual’s contribution to the
Company’s performance.","• There was no bonus payout
for 2022 financial year as the
Company did not meet its
operational targets."
"mret sevitnecni
gnoL","There is presently no long-
term incentive scheme within
the Group.","• Rewards long-term consistent
performance in line with
Unga’s Business strategy.
• Provides focus on delivering
superior long-term returns to
the shareholders.","• Leadership Development
Program"
"gnidloherahS
tnemeriuqer","There is presently no Employee
Share Ownership Plan.","• Ensure alignment between
the interests of Executive
Directors and shareholders",• N/A
