Member,Attendance
"Patrick Obath -
Chairman",5/5
Nicholas Hutchinson,2/5
Joseph Choge,3/5
Alan McKittrick,3/5
Andrew Ndegwa,5/5
Ciiru Miringu,5/5
Wangari Murugu,5/5
