Column,"Independent Non-
Executive/Non-
Executive Director","Period in
office","Board
meeting
attendance","Board
Strategy
attendance",Column
Isabella Ochola-Wilson,"Non-Executive
Chairman",Full year,4/4,2/2,No
Joseph Choge,"Group Managing
Director",Full year,4/4,2/2,n/a
Andrew Ndegwa,Non-Executive Director,Full year,4/4,2/2,Yes
Alan Mckittrick,Non-Executive,Full year,3/4,2/2,No
Vitalis Ojode,Non-Executive,Full year,4/4,2/2,No
Jinaro Kibet,Non-Executive,Full year,3/4,2/2,No
Patrick Obath,"Independent Non-
Executive",Full year,3/4,2/2,No
Shilpa Haria,"Independent Non-
Executive",Full year,3/4,1/2,Yes
Ciru Miring’u,"Independent Non-
Executive",Full year,4/4,1/2,No
,"Independent Non-
Executive",Full year,4/4,2/2,
