"2019
Shs ‘000","2018
Shs ‘000"
"544,814","783,203"
"-
(31,328)
9,398
(842)","-
136
(41)
(8,961)"
"(22,772)","(8,866)"
"522,042","774,337"
"327,345
194,697","503,319
271,018"
"522,042","774,337"
