Metric,Wheat Milling (Human Nutrition),Maize Mill
Full Year YTD Average,31%,62%
Stability Trend,Highly seasonal pattern,Stable and resilient demand
Start of Year (Jul–Aug ‘24),Very low (2-3%),Consistently high (50-78%)
Peak Performance (Dec ‘24),"Sharp build-up, peaking at 89%","Notable spike, peaking at 94%"
End of Year (Jun ‘25),Easing to mid-range (30-50%),Relatively strong (65%)
