"2019
Shs ‘000","2018
Shs ‘000"
"1,297,335","1,297,335"
"1,297,335","1,297,335"
"123,704
2,756","142,807
228,782"
"126,460","371,589"
"1,423,795","1,668,924"
"378,535
73,148
788,865","378,535
73,148
906,469"
"1,240,548","1,358,152"
"183,247","310,772"
"183,247","310,772"
"1,423,795","1,668,924"
