As at 30 June,Column
"2022
Shs’000","2021
Shs’000"
"30,860
24,451
55,311
19,463
63,169
8,627
(8,627)
(27,321)
-
-","19,464
-
19,464
38,858
19,784
4,036
-
(27,289)
(10,283)
(5,642)"
"55,311","19,464"
"395,351
-","395,351
-"
"395,351","395,351"
"381,325
1,508","371,236
10,089"
"382,833","381,325"
"12,518","14,026"
