DOMICILE,SHARES,SHAREHOLDERS,%
Foreign companies,"160,160",6,0.21%
Foreign individuals,"1,406,051",233,1.86%
Local companies,"59,423,767",152,78.49%
Local individuals,"14,718,895","5,772",19.44%
Total,"75,708,873","6,163",100.00%
