As at 30 June,Column
"2022
Shs’000","2021
Shs’000"
"535,451
(262,425)
(16,496)
(535,451)
278,920","535,451
(262,425)
-
-
-"
-,"273,026"
-,"11,560"
-,"284,586"
"(61,350)
-
61,350","-
(61,350)
-"
-,"(61,350)"
