"2023
Shs’000","2022
Shs’000"
"24,051,024
(1,165,230)
243,231","18,032,334
(678,943)
230,552"
"(921,999)
-
32,956","(448,391)
802,524
539"
"(889,043)","354,672"
"(372,541)
(346,369)
551,236","70,092
(517,615)
(332,117)"
"(167,674)","779,640"
"675,498
(193,598)
(80,265)","1,463,506
(779,640)
(8,368)"
"427,559","675,498"
