Domicile,Shareholders,Shares,%
Foreign companies,7,"2,137,160",2.82
Foreign individuals,268,"1,922,713",2.54
Local companies,225,"45,280,466",59.81
Local individuals,"7,166","26,368,534",34.83
Total,"7,662","75,708,873",100.00
