"2019
Shs ‘000","2018
Shs ‘000"
"1,362,759
(540,841)
(113,046)","(116,010)
(33,501)
(87,131)"
"708,872","(236,642)"
"(865,937)
(79,562)
(19,496)
9,095","(875,818)
-
(16,525)
5,923"
"(955,900","(886,420)"
"(75,707)
364,422
(193,746)
(84,711)
-","(75,707)
742,606
(195,542)
-
20,738"
"10,258","492,095"
"(236,770)","(630,967)"
"1,088,455
(236,770)
(10,347)","1,714,755
(630,967)
4,667"
"841,338","1,088,455"
