As at 30 June,Column
"2022
Shs’000","2021
Shs’000"
"6,019,267
(3,466,924)
-","6,209,800
(2,711,007)
(61,350)"
"2,552,343
4,481,748
-
(161,529)","3,437,443
3,713,670
284,586
(917,809)"
"4,320,219","3,080,447"
"6,872,562","6,517,890"
"18,032,334","17,812,638"
"(678,943)
230,552","517,210
(177,144)"
"(448,391)
802,524
539","340,066
(13,488)
8,129"
"354,672","334,707"
"70,092
(517,615)
(332,117)","1,044,237
(133,507)
(59,110)"
"(779,640)","851,620"
"1,463,506
(779,640)
(8,368)","607,449
851,620
4,437"
"675,498","1,463,506"
