Column,SHARES,%,Column
FOREIGN COMPANIES,"102,460",0.14%,4
FOREIGN INDIVIDUALS,"1,433,178",1.89%,241
LOCAL COMPANIES,"63,356,937",83.68%,156
LOCAL INDIVIDUALS,"10,816,298",14.29%,"5,829"
