DOMICILE,SHARES,%,HOLDERS
FOREIGN COMPANIES,"162,160",0.21%,7
FOREIGN INDIVIDUALS,"1,449,122",1.91%,239
LOCAL COMPANIES,"63,279,517",83.58%,152
LOCAL INDIVIDUALS,"10,818,074",14.29%,"5,777"
TOTAL,"75,708,873",100%,"6,175"
