"2019
Shs ‘000","2018
Shs ‘000"
"(150,319)
-","14,263
-"
"(150,319)","14,263"
"(75,707)","(75,707)"
"(75,707)","(75,707)"
"(226,026)","(61,444)"
"228,782
(226,026)","290,226
(61,444)"
"2,756","228,782"
