As at 30 June,Column
"2022
Shs’000","2021
Shs’000"
"311,361
12,724
(3,817)
(8,368)","293,477
23,031
(6,909)
(10,838)"
539,"5,284"
"311,900","298,761"
"187,765
124,135","187,304
111,457"
"311,900","298,761"
