As at 30 June,Column
"2022
Shs’000","2021
Shs’000"
"362,816
(369,547)","894,678
(864,002)"
"(6,731)
814,694","30,676
-"
"807,963","30,676"
"(5,439)","(44,164)"
"802,524","(13,488)"
"144,456
306,838)
(79,938)","11,323
(10,168)
-"
"(242,320)","1,155"
