Domicile,Shareholders,Column,Shares,%
Foreign companies,"271,160",,0.36%,8
Foreign individuals,"1,756,001",,2.32%,255
Local companies,"48,7","06,482",64.33%,215
Local individuals,"24,9","75,230",32.99%,"6,985"
Total,"75,7","08,873",100.00%,"7,463"
