1.4.3. Non-Executive Directors,Column,Column
a. Non – Executive Chairman,,
Fees,,
Approach,"Remuneration is in the form of an annual honorarium and sitting allowances for Board and Board Committee meetings.
The level and structure of the Chairman’s remuneration will primarily be compared against Kenyan best practice.",
Operation and Opportunity,"The quantum and structure of the Chairman’s remuneration is reviewed annually by the BNRC, which makes a
recommendation to the Board.",
Benefits and expenses,,
Approach,The Chairman is provided with support and reasonable travelling expenses.,
Operation and Opportunity,"All reasonable travelling, accommodation and other expenses (including any relevant tax) incurred in carrying out
duties as Chairman are reimbursed.
The rates applicable for reimbursements are in line with internally approved scales applicable to the Executive
Director(s).
Indemnification and Insurance i.e. Non-Executive Directors have the benefit of indemnity in relation to liability incurred
in their capacity as a Director of the Company.",
b. Non – Executive Directors,,
i. Fees,,
Approach,"Remuneration is in the form of an annual honorarium and sitting allowances for B
Strategy meetings and trainings. Remuneration practice is consistent with recog
non-executive directors’ remuneration and, as a Kenyan-listed company, the lev
Directors’ remuneration will primarily be compared against Kenyan best practice.
Additional fees may be payable to reflect additional board responsibilities, for ex
and membership and for the role of senior independent director.","oard, Board Committee meetings,
nized best practice standards for
el and structure of Non-Executive
ample, Committee Chairmanship"
