BOARD COMMITTEE,COMMITTEE MEMBERS,KEY HIGHLIGHTS
Special Board,"• Mrs. Isabella Ochola-
Wilson (Chairman)
• Ms. Shilpa Haria
• Mr. Nick Hutchinson
• Mr. Vitalis Ojode
• Mr. Patrick Obath","Key highlights of the Committee during the year:
A special Board was constituted for the Seaboard Offer period. It
did not include directors who had recused themselves on account
of the transaction.
The Committee facilitated the Board’s mandate with regards to
the CMA obligations placed upon the Board in relation to the
transaction"
"Audit and Risk
Committee","• Ms. Shilpa Haria
(Chairman)
• Mr. Jinaro Kibet
• Mr. Andrew Ndegwa
• Mr. Vitalis Ojode","Key highlights of the Committee during the year:
• Review of Group’s audited and unaudited financial statements
• Profit warning
• Enterprise Risk Management Policy
• Risk Appetite Statements & Tolerances
• Anti-Bribery and Anti-Corruption policies
• Review of the Legal and Compliance Audit Report"
"Nominations and
Remuneration
Committee","• Mr. Patrick Obath
(Chairman)
• Mr. Jinaro Kibet
• Mr. Andrew Ndegwa
• Mrs. Isabella
Ochola-Wilson","During the course of the year, the Committee undertook:
• Management of the Board succession process
• Review of the Board Evaluation results
• Review of the Governance Audit Report
• Review of Directors’ compensation"
"Investment
and Operations
Committee","• Mr. Patrick Obath
(Chairman)
• Mr. Andrew Ndegwa
• Mr. Nick Hutchinson
• Mr. Alan McKittrick","During the course of the year, the Committee oversaw the
following initiatives
• Commissioning of Eldoret Wheat mill expansion
• Oversight of sale of Unga Millers (U) Limited’s assets
• Implementation of SAP ERP enhancements
• Supply chain optimisation
• Capital projects
• Financial planning"
"Human Resources
Committee","• Mr. Alan McKittrick
(Chairman)
• Mrs. Isabella
Ochola-Wilson
• Mr. Nick Hutchinson","During the course of the year, Committee reviewed the following:-
• Salary adjustments and variable pay payout
• Code of Ethics and Business Conduct
The Committee also received, reviewed and approved the
following management proposals
• Staff rationalisation exercise in Ennsvalley Bakery Limited
• Revised structure of the Human Resource Department
• Review of labour productivity metrices across the group
• Roll out of the culture transformation program
• Staff mapping and succession planning
• Reengineering security services through deployment of
technology"
