As at 30 June,Column
"2022
Shs’000","2021
Shs’000"
"(720,978)
807,963","485,232
30,676"
"86,985","515,908"
"26,096
31,994
(274,433)
(7,192)
(4,771)
3,930
-","141,875
29,399
(15,611)
(6,506)
23,949
36,068
13,257"
"(224,376)","222,431"
