Name,Column
Isabella Ochola-Wilson,Non-executive Chairman
Nicholas Hutchinson,Group Managing Director
Andrew Ndegwa,Non-executive Director
Alan McKittrick,Non-executive
Vitalis Ojode,Non-executive
Jinaro Kibet,Non-executive
Patrick Obath,Independent non-executive
Shilpa Haria,Independent non-executive
Patrick Mugambi,"Alternate director to
Andrew Ndegwa"
James Gutsch,"Alternate director to
Nick Hutchinson"
Company Secretary,Winniefred Jumba
