"Value Added Statement – FY 2025
""Value added"" is the value which the Group has added to purchased materials and goods by process of
manufacture and conversion, and the sale of its products and services. This statement shows how the value so
added has been distributed.",Column,Column,Column,Column
,"2025
(Shs’000)",%,"2024
(Shs’000)",%
Revenue,"26,130,964",,"23,703,863",
"Net cost of raw materials, goods and services","(24,607,777)",,"(23,057,765)",
Wealth created by trading operations,"1,523,187",,"646,098",
Total wealth created,"1,523,187",,"646,098",
Interest Income on deposits,"2,089",,"13,281",
Finance income,"2,089",,"13,281",
Total wealth created,"1,525,276",,"659,379",
Distributed as follows,,,,
Employees: Benefits and remuneration,"819,079",53.7%,"921,699",139.8%
Governments: Taxation,"118,760",7.8%,"(135,375)",-20.5%
Providers of capital,"394,581",25.9%,"559,412",84.8%
Finance charges,"394,581",59.8%,"559,412",84.8%
Retained for growth,"192,856",29.2%,"(686,357)",-104.1%
Loss/ Profit for the year attributable to shareholders of the Company,"192,856",29.2%,"(686,357)",-104.1%
,"1,525,276",,"659,379",
