"2019
Shs’000","2019
%","2018
Shs’000","2018
%"
"17,895,670
(15,940,494)",,"19,982,070
(17,606,292)",
"1,955,176
62,990",,"2,375,778
116,649",
"2,018,166",,"2,492,427",
"1,236,216
70,388
242,455","61.3
3.5
12.0","1,102,375
510,492
166,493","44.2
20.5
6.7"
"166,748
75,707","8.3
3.8","90,786
75,707","3.6
3.0"
"469,107",23.2,"713,067",28.6
"406,219
62,888","20.1
3.1","373,537
339,530","15.0
13.6"
"2,018,166",,"2,492,427",
