Year ended 30 June,Column
"2023
Shs’000","2022
Shs’000"
"30
(42,221)","32
(55,219)"
"(42,191)","(55,187)"
"(42,191)
-","(55,187)
-"
"(42,191)
-","(55,187)
-"
"(42,191)","(55,187)"
